Starost;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
0-04;22;18;18;14;19;19;21;31;16;19;20;18;22;22;24;11;15;29;17;20;22;22;30;26;23;20;21;21;19;25;19;19;20;24;27;19;18;18;13;20;24;23;16;22;15;20;20;18;25;11;15;15;19;22;25;24
05-09;17;12;9;9;16;14;11;13;15;12;11;7;11;16;12;13;13;12;14;18;12;14;19;22;13;16;15;11;10;17;3;17;8;9;15;10;10;14;10;6;9;10;13;8;9;11;9;12;11;9;12;6;18;22;15;17
10-14;10;6;14;6;13;17;13;13;13;10;13;9;14;10;9;15;15;13;12;10;17;13;9;10;8;13;17;11;17;16;12;17;15;12;22;21;14;15;15;18;18;14;7;15;6;11;15;15;15;8;18;12;13;13;8;10
15-19;15;19;18;20;24;24;21;18;22;11;17;17;17;18;11;13;18;15;18;17;18;16;15;25;14;21;27;21;11;22;25;26;24;20;28;25;25;27;32;26;26;35;25;31;21;25;23;28;16;31;25;26;27;25;29;33
20-24;18;29;24;18;19;20;23;21;14;21;28;32;40;23;27;27;32;37;43;33;37;30;27;24;33;22;38;32;31;39;39;35;41;33;37;40;44;52;40;44;56;48;43;58;51;55;59;65;37;35;36;41;38;44;41;29
25-29;26;30;35;29;29;35;31;36;28;29;37;34;36;50;40;40;54;44;46;55;65;32;49;54;59;57;59;51;66;51;61;70;72;55;66;47;64;75;69;64;82;78;98;82;81;86;82;82;110;74;76;82;70;80;89;93
30-34;66;70;82;65;63;78;61;69;48;64;56;49;57;59;67;74;67;65;70;77;92;72;88;82;91;81;94;91;91;105;77;100;99;111;114;124;111;116;118;114;138;108;132;131;118;127;125;145;141;161;151;164;132;140;148;145
35-39;103;128;115;126;116;97;116;108;126;101;118;128;102;104;117;111;140;115;103;102;138;116;119;139;133;147;153;149;182;192;176;190;193;184;184;176;214;198;171;176;189;189;221;195;208;199;223;208;185;196;194;200;223;220;219;215
40-44;79;125;125;170;160;190;193;200;176;205;198;228;211;233;249;191;194;200;186;204;197;202;192;192;212;215;207;207;249;242;267;321;310;320;310;316;353;338;386;319;320;298;363;320;342;316;319;351;340;352;304;361;354;306;328;363
45-49;199;172;174;143;132;169;192;218;268;270;259;280;314;300;336;311;351;344;365;378;347;364;328;342;299;336;353;327;391;358;362;381;384;401;443;471;493;555;558;606;558;556;612;595;554;593;572;581;531;576;555;546;551;552;567;543
50-54;333;312;317;327;284;314;314;237;207;202;251;238;331;379;389;433;465;450;519;507;576;559;539;559;556;541;565;561;490;515;535;561;585;580;598;551;568;621;658;696;754;797;874;949;921;926;972;961;941;918;945;942;892;906;915;965
55-59;390;449;395;480;417;505;482;437;457;471;387;390;350;320;339;387;388;513;559;612;633;645;653;653;726;762;800;803;855;809;760;837;867;793;814;743;857;821;895;831;868;843;923;939;1085;1176;1250;1290;1400;1465;1473;1399;1378;1315;1313;1336
60-64;537;517;535;502;556;590;595;596;576;607;667;664;660;622;667;625;530;482;410;462;515;552;626;716;780;804;725;845;877;966;1022;1092;1069;1144;1105;1070;1166;1154;1093;1123;1126;1184;1185;1341;1282;1272;1353;1378;1359;1691;1828;1815;1944;1843;2025;2065
65-69;459;480;544;546;620;640;650;646;663;716;715;708;767;763;782;850;790;788;811;824;691;650;531;534;528;586;742;780;869;953;1070;1058;1190;1223;1251;1314;1471;1563;1460;1438;1460;1573;1545;1584;1593;1545;1601;1752;1812;1863;1834;1721;1784;1854;1979;2330
70-74;436;420;415;416;443;489;538;526;580;614;663;712;700;729;753;748;766;796;805;803;846;822;909;881;796;805;674;591;551;583;657;782;910;994;1114;1161;1290;1341;1483;1450;1603;1668;1689;1765;1749;1780;1890;1832;1790;1987;1885;2023;2045;2002;2134;2071
75-79;249;282;319;335;328;369;334;348;335;355;378;453;477;475;552;564;589;587;588;649;633;629;666;711;712;799;743;799;847;850;765;727;626;608;602;670;855;971;1059;1156;1304;1308;1422;1506;1529;1641;1671;1856;1792;1864;1786;1974;1963;1942;2028;2023
80+;205;207;191;193;224;214;250;257;279;264;290;306;278;303;339;364;368;424;392;443;533;477;512;538;573;674;662;686;764;766;857;901;1006;988;1028;1050;1065;998;974;1078;1171;1270;1278;1518;1617;1695;1836;1957;2117;2189;2347;2320;2593;2786;2835;2924
